id,title,released,developer,publisher,released_on
41,"Adventures of Robbo",1994,"xLand Games","Epic MegaGames",1994-01-01
42,"Adventures of Robin Hood, The",1992,"Millennium Interactive","Millennium Interactive",1992-01-01
43,"Advenures of Tintin: Prisoners of the Sun",1997,Infogrames,Infogrames,1997-01-01
44,"Adventures of Willy Beamish, The",1991,Dynamix,"Sierra On-Line",1991-01-01
45,"AEGIS: Guardian of the Fleet",1994,"Microplay Software","Time Warner Interactive",1994-01-01
46,"Aethra Chronicles",1994,"Michael W. Lawrence","Michael W. Lawrence",1994-01-01
47,"African Adventure",1984,"Tony Baechler","Tony Baechler",1984-01-01
48,"After Burner",1989,Sega,Sega,1989-01-01
49,"After Burner II",1989,Sega,Sega,1989-01-01
50,Afterlife,1997,LucasArts,LucasArts,1997-01-01
51,"After the War",1989,"Dinamic Software","Dinamic Software",1989-01-01
52,A.G.E.,1991,"Coktel Vision","Coktel Vision",1991-01-01
53,"Agent USA",1984,"Tom Snyder Productions",Scholastic,1984-01-01
54,"AH-64D Longbow",1996,"Origin Systems","Electronic Arts",1996-01-01
55,"AH-64D Longbow - Flash Point: Korea",1996,"Origin Systems","Electronic Arts",1996-01-01
56,Air,1993,"Softstar Entertainment","Softstar Entertainment",1993-01-01
57,Airball,1987,Microdeal,Microdeal,1987-01-01
58,"Airborne Ranger",1988,Microprose,Microprose,1988-01-01
59,"Air Bucks",1992,"Impressions Games","Sierra On-Line",1992-01-01
60,"Air Force Commander",1992,"Impressions Games","Impressions Games",1992-01-01
61,"Air Power",1996,"Rowan Software",Mindscape,1996-01-01
62,"Airlift Rescue",1995,"David Fleming","David Fleming",1995-01-01
63,"Airstrike USA",1990,"Digital Integration","Spotlight Software",1990-01-01
64,Albion,1996,"Blue Byte","Blue Byte",1996-01-01
65,Alcatraz,1992,"221B Software Development",Infogrames,1992-01-01
66,"Aldo's Adventure",1987,"Yahoo Software","Yahoo Software",1987-01-01
67,"Aleshar: World of Ice",1997,Hypothermia,Hypothermia,1997-01-01
68,"Alex Higgins World Snooker",1988,Lindensoft,Lindensoft,1988-01-01
69,"Alfred Pelrock",1996,"Digital Dreams Multimedia","Digital Dreams Multimedia",1996-01-01
70,"ALF's Thinking Skills",1993,"Vision Software","Vision Software",1993-01-01
71,"ALF's U.S. Geography",1993,"Vision Software","Vision Software",1993-01-01
72,"ALF: The First Adventure",1987,"Box Office","Box Office",1987-01-01
73,"Alice in Wonderland",1989,"Dale Disharoon","Windham Classics",1989-01-01
74,Alien,1982,Unknown,Unknown,1982-01-01
75,"Alien Attack",1995,"Titan Software","Titan Software",1995-01-01
76,"Alien Breed",1990,Team17,Team17,1990-01-01
77,"Alien Breed: Tower Assault",1994,Team17,Team17,1994-01-01
78,"Alien Cabal",1996,"QA Soft","QA Soft",1996-01-01
79,"Alien Carnage",1994-11-02,"Interactive Binary Illusions/SubZero Software","Apogee Software",1994-11-02
80,"Alien Fires: 2199 AD",1987,Jagware,"Paragon Software",1987-01-01
81,"Alien Incident",1996,Housemarque,GameTek,1996-01-01
82,"Alien Legacy",1995,"Ybarra Productions","Sierra On-Line",1995-01-01
83,"Alien Logic",1994,"Ceridus Software","Strategic Simulations",1994-01-01
84,"Alien Odyssey",1995,"Argonaut Games","Philips Interactive Media",1995-01-01
85,"Alien Olympics 2044 AD",1994,"Dark Technologies",Mindscape,1994-01-01
86,"Alien Phobia",1997,Wah-Software,Wah-Software,1997-01-01
87,"Alien Rampage",1997,"Inner Circle Creations",Softdisk,1997-01-01
88,"Aliens: A Comic Book Adventure",1995,"Cryo Interactive",Mindscape,1995-01-01
89,"Alien Syndrome",1989,Sega,Sega,1989-01-01
90,"Alien Trilogy",1995-12-31,"Probe Software","Acclaim Entertainment",1995-12-31
91,"Alien Virus",1994,Funsoft,"Vic Tokai",1994-01-01
92,"Alien Worlds",1989,Unknown,Unknown,1989-01-01
93,"All Dogs Go to Heaven",1989,"Polarware/Penguin Software","Merit Software",1989-01-01
94,"Allan Border's Cricket",1994,Audiogenic,Audiogenic,1994-01-01
95,"Alley Cat",1983,"Synapse Software","Bill Williams",1983-01-01
96,"All New Family Feud, The",1989,ShareData,"Softie Inc.",1989-01-01
97,"Alone in the Dark",1992,"Interplay Entertainment",Infogrames,1992-01-01
98,"Alone in the Dark 2",1994,Infogrames,"Interplay Entertainment",1994-01-01
99,"Alone in the Dark 3",1995,Infogrames,"Interplay Entertainment",1995-01-01
100,AlphaMan,1995,Freeware,Freeware,1995-01-01
101,"Alpha Storm",1997,TAG,TAG,1997-01-01
102,"Alpha Waves",1990,Infogrames,Infogrames,1990-01-01
103,"Alpine Encounter, The",1985,"Random House","Random House",1985-01-01
104,"Al-Qadim: The Genie's Curse",1994,"Stormfront Studios","Strategic Simulations",1994-01-01
105,Alshark,1991,"Popcorn Soft","Popcorn Soft",1991-01-01
106,"Altered Beast",1990,Sega,Sega,1990-01-01
107,"Altered Destiny",1990,"Accolade Inc.","Accolade Inc.",1990-01-01
108,"Alter Ego",1986,Activision,Activision,1986-01-01
109,"Alternate Reality: The City",1988,Datasoft,"Electronic Arts",1988-01-01
110,"Amarillo Slim Dealer's Choice",1991,"Villa Crespo Software","Villa Crespo Software",1991-01-01
111,"Amazing Maze",1983,"Donovan W. Foster","Headlands Press",1983-01-01
112,"Amazing Spider-Man, The",1989,Unknown,"Paragon Software",1989-01-01
113,Amazon,1984,"Trillium Corp.","Trillium Corp.",1984-01-01
114,"Amazon: Guardians of Eden",1992,"Access Software","Access Software",1992-01-01
115,"Amazon Trail, The",1993,MECC,MECC,1993-01-01
116,Amberstar,1992,"Thalion Software","Thalion Software",1992-01-01
117,"AmbivalenZ: Niritsu Haihan",1994,"Alice Soft","Alice Soft",1994-01-01
118,"Ambush at Sorinor",1993,"Mindcraft Software","Mindcraft Software",1993-01-01
119,"American Challenge: A Sailing Simulation",1986,"Tom Snyder Productions",Mindscape,1986-01-01
120,"American Gladiators",1992,GameTek,GameTek,1992-01-01
121,"American Sign Language Tutor",1991,Softdisk,Softdisk,1991-01-01
122,"A Mind Forever Voyaging",1985-08-14,Infocom,Infocom,1985-08-14
123,Amnesia,1986,"Cognetics Corporation","Electronic Arts",1986-01-01
124,Amok,1997,Scavenger/Lemon,Sega,1997-01-01
125,"Amulets & Armor",1997,"United Game Artists","United Game Artists",1997-01-01
126,"Amy's Fantasies",1995,"C's Ware","C's Ware",1995-01-01
127,"Anacreon: Reconstruction 4021",1987,"Thinking Machine Associates","Thinking Machine Associates",1987-01-01
128,"An American Tail: Fievel Goes West",1993,"Manley & Associates",Capstone,1993-01-01
129,Anchorhead,1998,Unknown,Unknown,1998-01-01
130,"Ancient Art of War, The",1984,Evryware,"Brøderbund",1984-01-01
131,"Ancient Art of War at Sea, The",1987,Evryware,"Brøderbund",1987-01-01
132,"Ancient Art of War in the Skies, The",1993,Evryware,"Brøderbund",1993-01-01
133,"Ancient Domains of Mystery",1994,"Thomas Biskup","Thomas Biskup",1994-01-01
134,"Ancient Evil",1998,"Silver Lightning Software","Silver Lightning Software",1998-01-01
135,"Ancient Land of Ys",1989,"Nihon Falcom","Brøderbund",1989-01-01
136,"Ancients 1: Deathwatch",1993,Farr-Ware,"Epic MegaGames",1993-01-01
137,"Ancients 2: Approaching Evil",1993,Farr-Ware,"Epic MegaGames",1993-01-01
138,"Andromeda Conquest",1982,"Avalon Hill","Avalon Hill",1982-01-01
139,"Andromedas Erbe",1994,Unknown,Unknown,1994-01-01
140,Angband,1992,Unknown,Unknown,1992-01-01
141,"Angel Devoid: Face of the Enemy",1995,"Electric Dreams Software",Mindscape,1995-01-01
142,"Angel Nieto Pole 5000",1990,"Opera Soft","Opera Soft",1990-01-01
143,"Angst: Rahz's Revenge",1996,ManMachineGames,SoftKey,1996-01-01
144,"Animal Math",1986,"Donald Pavia","Donald Pavia",1986-01-01
145,"Animal Quest",1996,"Alive Software","Alive Software",1996-01-01
146,"Annals of Rome",1988,Unknown,PSS,1988-01-01
147,"Anna's Gram",1987,Unknown,Softdisk,1987-01-01
148,Antagony,1995,"Triniti Software","Triniti Software",1995-01-01
149,Antix,1992,Unknown,Unknown,1992-01-01
150,"Ant Run",1996,"Soleau Software","Soleau Software",1996-01-01
151,"Anvil of Dawn",1995,"DreamForge Intertainment","New World Computing",1995-01-01
152,Apache,1993,Team17,Team17,1993-01-01
153,"Apache Longbow",1995,"Interactive Magic","Digital Integration",1995-01-01
154,"Apollo 18: Mission to the Moon",1988,"Artech Studios","Accolade Inc.",1988-01-01
155,A.P.B.,1989,Domark,Atari,1989-01-01
156,"Apple Panic",1982,"Brøderbund","Brøderbund",1982-01-01
157,Aquanoid,1992,"Massive Development","",1992-01-01
158,Arachnophobia,1991,"BlueSky Software","Disney Interactive Studios",1991-01-01
159,"Arcade Fruit Machine",1992,"Zeppelin Games","Zeppelin Games",1992-01-01
160,"Arcade Pool",1994,Team17,Team17,1994-01-01
161,"Arcade Volleyball",1987,Microforum,Microforum,1987-01-01
162,"Archimedean Dynasty",1997-04-04,"Massive Development","Blue Byte",1997-04-04
163,Archipelagos,1990,"Astral Software",Logotron,1990-01-01
164,"Archon: The Light and the Dark",1983,"Free Fall Associates","Electronic Arts",1983-01-01
165,"Archon Ultra",1994,"Free Fall Associates","Strategic Simulations",1994-01-01
166,"Arctic Adventure",1991,"Apogee Software","Apogee Software",1991-01-01
167,Arcticfox,1985,Dynamix,"Electronic Arts",1985-01-01
168,"Arctic Moves",1995,"Dinamic Multimedia","Dinamic Multimedia",1995-01-01
169,"Arcy 2",1994,"Caps Software","MVP Software",1994-01-01
170,"Are We There Yet?",1991,"Manley & Associates","Electronic Arts",1991-01-01
171,"Are You Afraid of the Dark: The Tale of Orpheo's Curse",1994,"Viacom New Media","Viacom New Media",1994-01-01
172,"Argo Checkers",1993,"Argo Games","Software Creations",1993-01-01
173,Arkanoid,1988,NovaLogic,Taito,1988-01-01
174,"Arkanoid II-Revenge of Doh",1989,NovaLogic,Taito,1989-01-01
175,"Ark of Time",1997,Trecision,KOEI,1997-01-01
176,"Ar'Kritz the Intruder",1996,"SVirtual Studio","Microfolie's",1996-01-01
177,"ARL 96",1995,"Creative Assembly","Electronic Arts",1995-01-01
178,"Armada 2525",1991,Interstel,Interstel,1991-01-01
179,"Armaeth: The Lost Kingdom",1993,"Real World Multimedia","Grandslam Entertainment",1993-01-01
180,"Armor Alley",1991,"360 Pacific","360 Pacific",1991-01-01
181,"Armored Fist",1994,NovaLogic,"Electronic Arts",1994-01-01
182,Armour-Geddon,1992,Psygnosis,Psygnosis,1992-01-01
183,"Army Moves",1989,"Dinamic Software","Dinamic Software",1989-01-01
184,Arnhem,1985,"R. T. Smith","Cases Computer Simulations",1985-01-01
185,"Arnie 2",1993,"Zeppelin Games","Zeppelin Games",1993-01-01
186,Aro,1996,"D'India Software","D'India Software",1996-01-01
187,"Arthur: The Quest for Excalibur",1989,Infocom,Infocom,1989-01-01
188,Artura,1989,"Arcadia Systems","Virgin Mastertronic",1989-01-01
189,"Arya Vaiv",1994,"Megadream Software","Dongleware Verlags",1994-01-01
190,Ascendancy,1995,"The Logic Factory","Brøderbund",1995-01-01
191,"Ashes of Empire",1993,GameTek,GameTek,1993-01-01
192,"Assault Rigs",1996,Psygnosis,Psygnosis,1996-01-01
193,"Assault Trooper",1997,"Webfoot Technologies","Webfoot Technologies",1997-01-01
194,"Asterix & Obelix",1996,Infogrames,Infogrames,1996-01-01
195,"Asterix and the Magic Carpet",1987,"Coktel Vision","Coktel Vision",1987-01-01
196,"Asterix: Operation Getafix",1989,"Coktel Vision","Coktel Vision",1989-01-01
197,"Asteroid Smash",2000,"Jugibugi Entertainment",AukioGames,2000-01-01
198,Astro-Dodge,1982,Unknown,"Digital Marketing Corporation",1982-01-01
199,AstroFire,1994,"ORT Software",Unknown,1994-01-01
200,"The Astronomy Quiz",1988,"Scott Miller",Softdisk,1988-01-01
201,Astrotit,1987,Rudeware,Unknown,1987-01-01
202,ATAC,1992,"Argonaut Games",MicroProse,1992-01-01
203,"A-Team, The",1988,Zafiro,Zafiro,1988-01-01
204,"Atlantis: The Lost Tales",1997,"Cryo Interactive","Interplay Entertainment",1997-01-01
205,Atlas,1995,Artdink,"Sunflowers Interactive Entertainment Software",1995-01-01
206,Atomino,1990,[sygnosis,"Blue Byte",1990-01-01
207,Atomix,1990,Softtouch,Softtouch,1990-01-01
208,A-Train,1992,Artdink,Maxis,1992-01-01
209,Attack,1982,IBM,IBM,1982-01-01
210,"Attack on Altair",1982,"Windmill Software","Windmill Software",1982-01-01
211,"At the Carnival",1990,"Miles Computing","Miles Computing",1990-01-01
212,"Aufschwung Ost",1993,"Sunflowers Interactive Entertainment Software","Bomico Enteractive",1993-01-01
213,Austerlitz,1989,"Turcan Research Systems",Mirrorsoft,1989-01-01
214,Autoduel,1988,"Origin Systems","Origin Systems",1988-01-01
215,"AUTS: The Ultimate Stress Relief Game",1995,Unknown,Unknown,1995-01-01
216,"AV8B Harrier Assault",1992,"Sims Limited",Domark,1992-01-01
217,"Avalon Hill's Advanced Civilization",1995,"Avalon Hill","Avalon Hill",1995-01-01
218,Avish!,1993,"BUG Multisystem","BUG Multisystem",1993-01-01
219,"Avoid the Noid",1989,"California Merchandising Concepts",ShareData,1989-01-01
220,"Awesome Earl in SkateRock",1988,"Zig Zag Creations",ShareData,1988-01-01
221,Axia,1998,"Dungeon Dwellers Design",Unknown,1998-01-01
222,"Azrael's Tear",1996,"Intelligent Games",Mindscape,1996-01-01
223,"B-17 Flying Fortress",1992,"Vektor Grafix",MicroProse,1992-01-01
224,"B-1 Nuclear Bomber",1980,"Microcomputer Games","Avalon Hill",1980-01-01
225,"B-24 Combat Simulator",1987,"Strategic Simulations","Strategic Simulations",1987-01-01
226,Baal,1988,Psygnosis,Psyclapse,1988-01-01
227,"Baby Jo in ""Going Home""",1991,Loriciel,Loriciel,1991-01-01
228,"Back to Baghdad",1996,"Military Simulations Inc.","Military Simulations Inc.",1996-01-01
229,"Back to the Future Part II",1990,"Image Works",Mirrorsoft,1990-01-01
230,"Back to the Future Part III",1991,"Probe Software","Image Works",1991-01-01
231,"Backyard, The",1993,"Brøderbund","Brøderbund",1993-01-01
232,"Bad Blood",1990,"Origin Systems","Origin Systems",1990-01-01
233,"Bad Dudes",1988,"Data East","Data East",1988-01-01
234,"Bad Machine","","","",
235,"Bad Street Brawler",1987,"Beam Software",Mindscape,1987-01-01
236,Balance,1993,Kingsoft,Kingsoft,1993-01-01
237,"Balance of Power",1985,"Chris Crawford",Mindscape,1985-01-01
238,"Balance of the Planet",1990,"Chris Crawford","Chris Crawford",1990-01-01
239,Baldies,1996,"Creative Edge Software","Panasonic Interactive Media",1996-01-01
240,"Ballade for Maria",1994,FairyTale,FairyTale,1994-01-01
241,"Ball Blazing Fantasy",2003,Kentauri,Kentauri,2003-01-01
242,"Ball Breakers Corp.",1993,Kronos,Kronos,1993-01-01
243,"Ballgame 2",1992,"The Toxic Dream",Unknown,1992-01-01
244,"Ball Game, The",1991,"Electronic Zoo","Espirit Software Programs",1991-01-01
245,Ballistix,1989,Psygnosis,Psygnosis,1989-01-01
246,"Balloon Challenge",1993,"Soleau Software","Soleau Software",1993-01-01
247,Ballyhoo,1985,Infocom,Infocom,1985-01-01
248,Bananoid,1992,"William Rieder","Banana Development",1992-01-01
249,Bandit,"","","",
250,"Bandit Kings of Ancient China",1989,Koei,Koei,1989-01-01
251,"Bar Games",1989,"Accolade Inc.","Accolade Inc.",1989-01-01
252,Barbarian,1989,Mastertronic,Psygnosis,1989-01-01
253,"Barbarian: The Ultimate Warrior",1987,"Palace Software","Palace Software, Epyx",1987-01-01
254,"Barbarian II: The Dungeon of Drax",1989,"Palace Software","Palace Software, Epyx",1989-01-01
255,"Barbie Super Model",1993,"Tahoe Software Productions","Hi Tech Expressions",1993-01-01
256,"Bard's Tale, The",1985,"Interplay Productions","Electronic Arts",1985-01-01
257,"Bard's Tale Construction Set, The",1991,"Interplay Productions","Electronic Arts",1991-01-01
258,"Bard's Tale II, The: The Destiny Knight",1986,"Interplay Productions","Electronic Arts",1986-01-01
259,"Bard's Tale III, The: Thief of Fate",1988,"Interplay Productions","Electronic Arts",1988-01-01
260,"Bargon Attack",1992,"Coktel Vision","Coktel Vision",1992-01-01
261,"Baron Baldric: A Grave Overture",1992,"Animation F/X",Manaccom,1992-01-01
262,"Bart's House of Weirdness",1992,"Distinctive Software",Konami,1992-01-01
263,Baryon,1995,"ACRO Studio","CDV Software",1995-01-01
264,B.A.T.,1990,"Computer's Dream",Ubisoft,1990-01-01
265,"B.A.T. II – The Koshan Conspiracy",1992,"Computer's Dream",Ubisoft,1992-01-01
266,"Batman: The Caped Crusader",1988,"Special FX Software","Ocean Software",1988-01-01
267,"Batman: The Movie",1989,"Ocean Software","Ocean Software, Data East",1989-01-01
268,"Batman Forever: The Arcade Game",1996,"Iguana Entertainment","Acclaim Entertainment",1996-01-01
269,"Batman Returns",1993,"Spirit of Discovery",Konami,1993-01-01
270,"Bat 'n ball",1995,"Button Soft","",1995-01-01
271,"Battle Arena Toshinden",1995,Tamsoft,"Sony Computer Entertainment",1995-01-01
272,"Battle Bugs",1994,Epyx,"Sierra On-Line",1994-01-01
273,"Battle Chess",1988,"Interplay Entertainment","Interplay Entertainment",1988-01-01
274,"Battle Chess (MPC Version)",1991,"Interplay Entertainment","Interplay Entertainment",1991-01-01
275,"Battle Chess 4000",1992,"Interplay Entertainment","Interplay Entertainment",1992-01-01
276,"Battle Chess II: Chinese Chess",1990,"Interplay Entertainment","Interplay Entertainment",1990-01-01
277,"Battle Command",1990,"Realtime Games","Ocean Software",1990-01-01
278,"Battle for Normandy",1983,"Tactical Design Group","Strategic Simulations",1983-01-01
279,"Battle Isle",1991,"Blue Byte","Blue Byte",1991-01-01
280,"Battle Isle Data Disk I",1992,"Blue Byte","Blue Byte",1992-01-01
281,"Battle Isle 2200",1994,"Blue Byte","Blue Byte",1994-01-01
282,"Battle Isle 2 Scenery CD: Titan's Legacy",1994,"Blue Byte","Blue Byte",1994-01-01
283,"Battle Isle '93: The Moon of Chromos",1993,"Blue Byte","Blue Byte",1993-01-01
284,"Battle Isle (Platinum)",2000,"Blue Byte","Blue Byte",2000-01-01
285,"Battle Master",1991,"Personal Software Services",Mirrorsoft,1991-01-01
286,"Battle of Antietam",1986,"Strategic Simulations","Strategic Simulations",1986-01-01
287,"Battle of the Bulge: Tigers in the Snow",1999,"Atomic Games",Mindscape,1999-01-01
288,"Battlehawks 1942",1988,"LucasFilm Games","LucasFilm Games",1988-01-01
289,Battlerace,1995,"Soft Enterprises","Ikarion Software",1995-01-01
290,Battleships,1987,"Elite Systems","Elite Systems",1987-01-01
291,"Battles in Time",1995,"Quantum Quality Productions","Quantum Quality Productions",1995-01-01
292,"Battles of Destiny",1992,"Holistic Design","Quantum Quality Productions",1992-01-01
293,"Battles of Napoleon",1988,"Chuck Kroegel, David Landrey","Strategic Simulations",1988-01-01
294,BattleSport,1997,"Cyclone Studios","3DO Company",1997-01-01
295,"Battle Stations",1990,"Maitai Entertainment","Innerprise Software",1990-01-01
296,Battlestorm,1990,"Titus Software","Titus Software",1990-01-01
297,"BattleTech: The Crescent Hawk's Inception",1988,"Westwood Studios",Infocom,1988-01-01
298,"BattleTech: The Crescent Hawk's Revenge",1990,"Westwood Studios",Infocom,1990-01-01
299,Battlezone,1983,Atari,Atari,1983-01-01
300,"Bazooka Sue",1995,"Starbyte Software","Starbyte Software",1995-01-01
301,"BC Racers",1995,"Core Design","Core Design",1995-01-01
302,"B.C.'s Quest for Tires",1983,"Sydney Development","Sierra On-Line",1983-01-01
303,"Beast Within, The: A Gabriel Knight Mystery",1995,"Sierra Entertainment","Sierra Entertainment",1995-01-01
304,"Beat the House","","","",
305,Bedlam,1988,"Beam International",Go!,1988-01-01
306,"Beetlejuice in: Skeletons in the Closet",1991,Rare,LJN,1991-01-01
307,"Below the Root",1984,"Dale Disharoon","Windham Classics",1984-01-01
308,"Beneath a Steel Sky",1994,"Revolution Software","Virgin Interactive",1994-01-01
309,"Beneath Apple Manor",1983,"Quality Software","",1983-01-01
310,"Berenstain Bears, The: Learning at Home, Volume One",1993,"Compton's New Media","Compton's New Media",1993-01-01
311,"Berlin Connection","","","",
312,"Bert and the Snake","","","",
313,"Best of the Best: Championship Karate",1992,Loriciel,Loriciel,1992-01-01
314,Betrayal,1990,"Rainbird Software","Rainbird Software",1990-01-01
315,"Betrayal at Krondor",1993,Dynamix,"Sierra On-Line",1993-01-01
316,"Beverly Hillbillies, The","","","",
317,"Beverly Hills Cop",1990,Tynesoft,Tynesoft,1990-01-01
318,"Beyond Castle Wolfenstein",1984,"Muse Software","Muse Software",1984-01-01
319,"Beyond Columns","","","",
320,"Beyond the Black Hole",1989,"Software Toolworks","Software Toolworks",1989-01-01
321,"Beyond the Meltdown","","","",
322,"Beyond the Tesseract",1988,"David Lo","",1988-01-01
323,"Beyond the Titanic",1986,"Apogee Software","Apogee Software",1986-01-01
324,"Beyond the Wall of Stars","","","",
325,"Beyond Zork: The Coconut of Quendor",1987,Infocom,Infocom,1987-01-01
326,"Bible Adventures",1991,"Wisdom Tree","Wisdom Tree",1991-01-01
327,"Bible Builder",1992,Everbright,Everbright,1992-01-01
328,"Bifi 2: Action in Hollywood","","","",
329,"Big Bug Bang: Le Retour de Commander Blood","","","",
330,"Big Business","","","",
331,"Big Red Adventure, The",1995,Dynabyte,"Core Design",1995-01-01
332,"Big Red Racing",1996,"Big Red Software",Domark,1996-01-01
333,"Big Sea: The Better One Will Win","","","",
334,"Big Top",1983,"Michael Abrash",Funtastic,1983-01-01
335,"Biing!: Sex, Intrigue and Scalpels","","","",
336,"Bill Elliot's NASCAR Challenge",1990,"Distinctive Software",Konami,1990-01-01
337,"Bill & Ted's Excellent Adventure",1990,"IntraCorp, Off The Wall Productions",Capstone,1990-01-01
338,Bioforge,1995,"Origin Systems","Origin Systems",1995-01-01
339,Biologica!,"","","",
340,"Bio Menace",1993,"Apogee Software","Apogee Software",1993-01-01
341,"Bionic Commando",1987,Capcom,Capcom,1987-01-01
342,"BipBop II","","","",
343,"Birds of Prey",1991,"Electronic Arts","Argonaut Games",1991-01-01
344,"Birthright: The Gorgon's Alliance",1996,"Synergistic Software","Sierra On-Line",1996-01-01
345,"Black Box","","","",
346,"Black Cauldron, The",1986,"Sierra On-Line","Sierra On-Line",1986-01-01
347,Blackjack,1984,IBM,IBM,1984-01-01
348,"Black Monday","","","",
349,"Black Sect","","","",
350,"Blackstar, Agent of Justice","","","",
351,Blackthorne,1994,"Blizzard Entertainment","Interplay Entertainment",1994-01-01
352,"Blades of Steel",1990,Konami,Konami,1990-01-01
353,"Blade Warrior",1991,"Image Works","Image Works",1991-01-01
354,"Blake Stone: Aliens of Gold",1993,"JAM Productions","Apogee Software",1993-01-01
355,"Blake Stone: Planet Strike",1994,"JAM Productions","Apogee Software",1994-01-01
356,"Blam! Machinehead",1996,"Core Design Ltd.","Eidos Interactive, Inc.",1996-01-01
357,"Blast Chamber",1997,"Attention To Detail",Activision,1997-01-01
358,Blinky,"","","",
359,"Blind Justice","","","",
360,"Blind Wars","","","",
361,Blockage,"","","",
362,"Block Five","","","",
363,Blockout,1989,"P.Z.Karen Co. Development Group","California Dreams",1989-01-01
364,"Blocks from Hell","","","",
365,Blood,1997,"Monolith Productions","GT Interactive",1997-01-01
366,"Blood: Plasma Pak",1997,"Monolith Productions","GT Interactive",1997-01-01
367,"Blood Bowl",1995,"Destiny Software Productions",MicroLeague,1995-01-01
368,"Blood & Magic",1996,"Tachyon Studios","Interplay Entertainment",1996-01-01
369,"Blood Money",1989,"DMA Design",Psygnosis,1989-01-01
370,BloodNet,1993,MicroProse,MicroProse,1993-01-01
371,"Bloodstone: An Epic Dwarven Tale",1993,"Mindcraft Software","Mindcraft Software",1993-01-01
372,"Bloodwings: Pumpkinhead's Revenge","","","",
373,Bloodwych,1989,"Image Works","Konami, Image Works",1989-01-01
374,"Blue and the Gray, The","","","",
375,"Blue Angels: Formation Flight Simulation","","","",
376,"Blue Force",1993,"Jim Walls","Tsunami Games",1993-01-01
377,"Blue Ice",1995,"Art of Mind Productions",Psygnosis,1995-01-01
378,"Blue Max: Aces of the Great War",1990,"Three-Sixty Pacific","Three-Sixty Pacific",1990-01-01
379,"Blues Brothers, The",1991,"Titus Software","Titus Software",1991-01-01
380,"Blues Brothers, The: Jukebox Adventure","","","",
381,"Bobby Fischer Teaches Chess","","","",
382,BoBo,1988,Infogrames,Infogrames,1988-01-01
383,"Body Blows",1993,Team17,Team17,1993-01-01
